code,year,indicator,value
601398,2020,ROE,0.113438
601398,2020,net_profit_margin,0.35991599999999996
601398,2021,ROE,0.113258
601398,2021,net_profit_margin,0.371479
601398,2022,ROE,0.106764
601398,2022,net_profit_margin,0.393292
601398,2023,ROE,0.100383
601398,2023,net_profit_margin,0.433079
601398,2024,ROE,0.09470100000000001
601398,2024,net_profit_margin,0.446513
000001,2020,ROE,0.085445
000001,2020,net_profit_margin,0.188404
000001,2021,ROE,0.095674
000001,2021,net_profit_margin,0.21452000000000002
000001,2022,ROE,0.10966
000001,2022,net_profit_margin,0.253014
000001,2023,ROE,0.10243600000000001
000001,2023,net_profit_margin,0.28206
000001,2024,ROE,0.092038
000001,2024,net_profit_margin,0.303405
600104,2020,ROE,0.080152
600104,2020,net_profit_margin,0.040368
600104,2021,ROE,0.091905
600104,2021,net_profit_margin,0.044664999999999996
600104,2022,ROE,0.058291
600104,2022,net_profit_margin,0.031682
600104,2023,ROE,0.049885
600104,2023,net_profit_margin,0.027624
600104,2024,ROE,0.005805
600104,2024,net_profit_margin,0.009499
002594,2020,ROE,0.074523
002594,2020,net_profit_margin,0.038404
002594,2021,ROE,0.040083
002594,2021,net_profit_margin,0.018355
002594,2022,ROE,0.161305
002594,2022,net_profit_margin,0.04177
002594,2023,ROE,0.24048100000000003
002594,2023,net_profit_margin,0.052039
002594,2024,ROE,0.248437
002594,2024,net_profit_margin,0.053517
000002,2020,ROE,0.201254
000002,2020,net_profit_margin,0.141485
000002,2021,ROE,0.097832
000002,2021,net_profit_margin,0.084076
000002,2022,ROE,0.094508
000002,2022,net_profit_margin,0.07453
000002,2023,ROE,0.04929399999999999
000002,2023,net_profit_margin,0.043921
000002,2024,ROE,-0.218231
000002,2024,net_profit_margin,-0.141921
600048,2020,ROE,0.172182
600048,2020,net_profit_margin,0.164743
600048,2021,ROE,0.145761
600048,2021,net_profit_margin,0.13052
600048,2022,ROE,0.09364800000000001
600048,2022,net_profit_margin,0.09611900000000001
600048,2023,ROE,0.06112900000000001
600048,2023,net_profit_margin,0.051608
600048,2024,ROE,0.025250000000000005
600048,2024,net_profit_margin,0.031245
600519,2020,ROE,0.314108
600519,2020,net_profit_margin,0.521763
600519,2021,ROE,0.299036
600519,2021,net_profit_margin,0.524724
600519,2022,ROE,0.324077
600519,2022,net_profit_margin,0.526795
600519,2023,ROE,0.361755
600519,2023,net_profit_margin,0.52488
600519,2024,ROE,0.384283
600519,2024,net_profit_margin,0.522734
000858,2020,ROE,0.24944
000858,2020,net_profit_margin,0.364846
000858,2021,ROE,0.253034
000858,2021,net_profit_margin,0.370153
000858,2022,ROE,0.250507
000858,2022,net_profit_margin,0.378142
000858,2023,ROE,0.248051
000858,2023,net_profit_margin,0.37852800000000003
000858,2024,ROE,0.242374
000858,2024,net_profit_margin,0.372228
601088,2020,ROE,0.11001
601088,2020,net_profit_margin,0.202625
601088,2021,ROE,0.136403
601088,2021,net_profit_margin,0.17707700000000004
601088,2022,ROE,0.18067599999999998
601088,2022,net_profit_margin,0.237002
601088,2023,ROE,0.148762
601088,2023,net_profit_margin,0.202866
601088,2024,ROE,0.140435
601088,2024,net_profit_margin,0.203517
600050,2020,ROE,0.037942000000000004
600050,2020,net_profit_margin,0.041222
600050,2021,ROE,0.042472
600050,2021,net_profit_margin,0.043971
600050,2022,ROE,0.048088
600050,2022,net_profit_margin,0.046912
600050,2023,ROE,0.05212
600050,2023,net_profit_margin,0.05022200000000001
600050,2024,ROE,0.055725
600050,2024,net_profit_margin,0.052878
